h	r	t
Q4269872	P22	Q79972
Q4269872	P25	Q158248
Q4269872	P3373	Q82631
Q4269872	P3373	Q158252
Q4269872	P3373	Q4269678
Q4269872	P3373	Q81506
Q4269872	P3373	Q3292803
Q4269872	P3373	Q4269980
Q525903	P40	Q553292
Q525903	P40	Q4944376
Q525903	P40	Q603436
Q525903	P26	Q509216
Q52935	P22	Q52936
Q52935	P26	Q174256
Q52935	P40	Q420706
Q52935	P40	Q57698488
Q52935	P40	Q6219556
Q52935	P40	Q61793498
Q52935	P40	Q52934
Q52935	P40	Q52933
Q76736	P22	Q57628
Q76736	P25	Q241313
Q76736	P26	Q231441
Q76736	P40	Q61649
Q76736	P40	Q57841
Q76736	P40	Q85021
Q76736	P40	Q77336
Q76736	P40	Q16740105
Q76736	P40	Q18411753
Q76736	P3373	Q215086
Q76736	P3373	Q57909
Q76736	P3373	Q1338135
Q76736	P3373	Q1533315
Q76736	P3373	Q76724
Q76736	P3373	Q95815
Q76736	P3373	Q1895648
Q76736	P451	Q101508594
Q75807428	P22	Q60746
Q75807428	P25	Q265243
Q57415667	P22	Q321909
Q57415667	P3373	Q1218519
Q57415667	P3373	Q106765741
Q57415667	P26	Q15732737
Q57415667	P40	Q509362
Q57415667	P25	Q1727509
Q76030009	P22	Q7617445
Q76030009	P25	Q59173406
Q76285141	P22	Q3809220
Q76285141	P25	Q75385701
Q5540784	P22	Q5369081
Q5540784	P25	Q5086017
Q5540784	P3373	Q333422
Q5540784	P3373	Q332616
Q96244454	P40	Q96244452
Q96244454	P40	Q2840841
Q75359489	P22	Q2958246
Q75359489	P25	Q75359480
Q315206	P22	Q348137
Q315206	P25	Q5066980
Q315206	P3373	Q504543
Q315206	P3373	Q63307
Q315206	P3373	Q75692
Q315206	P1598	Q91253
Q1685583	P40	Q1346624
Q1685583	P40	Q929092
Q1685583	P40	Q108942270
Q1685583	P22	Q557026
Q1685583	P3373	Q1150810
Q1685583	P3373	Q15967167
Q1685583	P3373	Q22081478
Q1685583	P25	Q75785497
Q62995386	P802	Q574024
Q436627	P26	Q356173
Q436627	P40	Q241806
Q436627	P40	Q75387634
Q436627	P40	Q725833
Q436627	P40	Q75387647
Q436627	P3373	Q229218
Q75286701	P22	Q150494
Q75286701	P25	Q158659
Q109348572	P22	Q3119915
Q109348572	P25	Q102047789
Q697660	P22	Q328233
Q697660	P25	Q237663
Q697660	P3373	Q170205
Q697660	P3373	Q260505
Q697660	P3373	Q261852
Q697660	P3373	Q502919
Q697660	P3373	Q78549
Q697660	P3373	Q78542
Q697660	P1598	Q1001691
Q697660	P1598	Q24970718
Q697660	P1598	Q19979210
Q3262254	P22	Q3160248
Q3262254	P40	Q3174900
Q3262254	P40	Q75572922
Q3262254	P3373	Q2960540
Q3262254	P3373	Q3086131
Q3262254	P25	Q102816861
Q3262254	P26	Q102815469
Q840422	P26	Q948993
Q840422	P26	Q59659053
Q840422	P40	Q231126
Q840422	P40	Q3099042
Q840422	P40	Q22970739
Q840422	P40	Q28091030
Q75268312	P22	Q2579868
Q75268312	P25	Q4948295
Q2605222	P25	Q989348
Q2605222	P40	Q64685573
Q2605222	P40	Q75299075
Q2605222	P40	Q47008164
Q2605222	P26	Q3361768
Q236886	P26	Q155599
Q75359476	P22	Q2958246
Q75359476	P25	Q75359480
Q1587522	P22	Q48547
Q1587522	P40	Q3763026
Q1587522	P3373	Q1280015
Q1587522	P3373	Q1280021
Q1587522	P3373	Q2527353
Q1587522	P3373	Q261915
Q1587522	P3373	Q271831
Q1587522	P3373	Q1089085
Q1587522	P3373	Q1529833
Q1587522	P3373	Q2633633
Q1587522	P3373	Q297483
Q1587522	P3373	Q299675
Q1587522	P3373	Q3898619
Q1587522	P25	Q3721837
Q1587522	P26	Q3835546
Q3821483	P40	Q551123
Q3821483	P22	Q551726
Q3821483	P25	Q74673
Q3821483	P3373	Q527160
Q3821483	P3373	Q31191472
Q104538173	P40	Q104538171
Q104538173	P40	Q65132550
Q104538173	P22	Q2453436
Q104538173	P25	Q104538314
Q104538173	P26	Q30879752
Q75359884	P22	Q22683718
Q75359884	P25	Q75359882
Q318089	P22	Q475967
Q318089	P26	Q6423363
Q318089	P25	Q3617647
Q519223	P22	Q53454
