h	r	t
Q10440951	P36	Q200022
Q10440951	P36	Q461020
Q1074602	P131	Q12549
Q1074602	P47	Q922880
Q1074602	P47	Q219667
Q1074602	P47	Q324273
Q1074602	P47	Q219663
Q1074602	P47	Q224251
Q1074602	P47	Q658532
Q2378122	P47	Q37320
Q18989364	P1366	Q502403
Q18989364	P3842	Q502403
Q534812	P131	Q12679
Q534812	P47	Q733754
Q534812	P47	Q1095046
Q534812	P47	Q511013
Q534812	P47	Q683107
Q534812	P47	Q1341384
Q534812	P47	Q248866
Q534812	P47	Q251183
Q534812	P47	Q251361
Q534812	P47	Q1411582
Q226745	P131	Q1270623
Q226745	P131	Q12626
Q226745	P47	Q1018316
Q226745	P47	Q1065764
Q226745	P47	Q229372
Q226745	P47	Q988239
Q226745	P47	Q1102598
Q226745	P47	Q1060586
Q226745	P47	Q1049776
Q22350	P131	Q1270623
Q22350	P131	Q12652
Q22350	P47	Q21635
Q22350	P47	Q21966
Q22350	P47	Q21961
Q22350	P47	Q21946
Q22350	P47	Q21729
Q22350	P47	Q21653
Q666021	P131	Q3068
Q666021	P47	Q478
Q666021	P47	Q1001956
Q666021	P47	Q923382
Q666021	P47	Q632295
Q666021	P47	Q780351
Q666021	P47	Q1116872
Q21584	P131	Q1270623
Q21584	P131	Q12652
Q21584	P47	Q21618
Q21584	P47	Q22388
Q21584	P47	Q21577
Q21584	P47	Q21952
Q21584	P47	Q21748
Q21584	P47	Q21711
Q21584	P47	Q21717
Q7040582	P1366	Q846877
Q7040582	P3842	Q846877
Q22175	P131	Q12652
Q22175	P131	Q12652
Q22175	P47	Q21669
Q22175	P47	Q21931
Q22175	P47	Q21996
Q22175	P47	Q22408
Q17176230	P1366	Q386635
Q17176230	P3842	Q386635
Q11487169	P1366	Q861255
Q11487169	P3842	Q861255
Q1207735	P131	Q1189121
Q1207735	P1376	Q1189121
Q1207735	P1366	Q1490
Q1207735	P150	Q233495
Q1207735	P150	Q233903
Q1207735	P150	Q231645
Q1207735	P150	Q193638
Q1207735	P150	Q234087
Q1207735	P150	Q232631
Q1207735	P150	Q236680
Q1207735	P150	Q232624
Q1207735	P150	Q232635
Q1207735	P150	Q213464
Q1207735	P150	Q232628
Q1207735	P150	Q214056
Q650520	P131	Q3068
Q650520	P47	Q780040
Q650520	P47	Q643971
Q650520	P47	Q653380
Q650520	P47	Q1069540
Q650520	P47	Q687935
Q650520	P47	Q1065403
Q650520	P47	Q1165075
Q22909	P131	Q12652
Q22909	P131	Q12652
Q22909	P47	Q21621
Q22909	P47	Q22074
Q22909	P47	Q22032
Q857310	P131	Q131358
Q857310	P47	Q611642
Q857310	P47	Q857194
Q857310	P47	Q847584
Q857310	P47	Q202907
Q857310	P47	Q386677
Q857310	P1366	Q386677
Q857310	P47	Q857225
Q337636	P131	Q3068
Q337636	P47	Q12191
Q337636	P47	Q1115736
Q337636	P47	Q328077
Q248978	P131	Q12679
Q248978	P47	Q212350
Q248978	P47	Q250911
Q248978	P47	Q251048
Q22397	P131	Q12652
Q22397	P131	Q12652
Q22397	P47	Q22133
Q22397	P47	Q22447
Q22397	P47	Q22104
Q22397	P47	Q21992
Q22397	P47	Q22153
Q22397	P47	Q22930
Q22397	P47	Q21989
Q22397	P47	Q22309
Q576623	P131	Q12626
Q576623	P47	Q212709
Q576623	P47	Q1060546
Q576623	P47	Q1064083
Q576623	P47	Q221235
Q576623	P47	Q1048094
Q576623	P47	Q1047457
Q21749	P131	Q12652
Q21749	P131	Q12652
Q21749	P47	Q22094
Q21749	P47	Q22013
Q21749	P47	Q22343
Q21749	P47	Q22402
Q21749	P47	Q22232
Q21749	P47	Q22018
Q21749	P47	Q22028
Q21749	P1889	Q21700
Q647089	P131	Q12564
Q647089	P47	Q160927
Q647089	P47	Q1135459
Q647089	P47	Q21979698
Q647089	P1366	Q28723535
Q231837	P131	Q12549
Q231837	P47	Q474397
Q231837	P47	Q779377
Q231837	P47	Q728385
Q231837	P47	Q657826
Q231837	P47	Q1070797
Q636871	P131	Q3353
Q636871	P47	Q861652
Q636871	P47	Q195864
Q636871	P47	Q1011637
Q636871	P47	Q193138
Q636871	P47	Q616467
Q640373	P131	Q12549
Q640373	P47	Q324273
Q640373	P47	Q1011055
Q640373	P47	Q506948
Q640373	P47	Q196521
Q640373	P47	Q222759
Q640373	P47	Q640336
Q587066	P131	Q1270623
Q587066	P131	Q12626
Q587066	P47	Q509647
Q587066	P47	Q229421
Q587066	P47	Q207871
Q587066	P47	Q1102177
Q587066	P47	Q217367
Q587066	P47	Q1096573
Q1354747	P47	Q386635
Q1354747	P47	Q1346747
Q1354747	P47	Q937037
Q1354747	P47	Q1346806
Q1354747	P1365	Q17174420
Q1354747	P1365	Q17174418
Q4006668	P1366	Q495821
Q4006668	P3842	Q495821
Q4006668	P3842	Q1203700
Q52101	P190	Q38234
Q249243	P131	Q12679
Q249243	P47	Q248930
Q249243	P47	Q732606
Q1156035	P1889	Q166946
Q1156035	P47	Q166946
Q1156035	P47	Q1351626
Q1156035	P47	Q1350180
Q11405185	P1366	Q5119026
Q11405185	P3842	Q1350204
Q11371727	P1366	Q241568
Q11371727	P3842	Q1349102
Q220149	P131	Q12549
Q220149	P47	Q1070915
Q220149	P47	Q142610
Q220149	P47	Q193629
Q220149	P47	Q1063099
Q220149	P47	Q970366
Q220149	P47	Q1152267
Q220149	P47	Q626520
Q220149	P47	Q669538
Q196106	P131	Q3353
Q196106	P47	Q193746
Q196106	P47	Q539534
Q196106	P47	Q1011154
Q196106	P47	Q1077760
Q176223	P131	Q3353
Q176223	P47	Q861587
Q176223	P47	Q202608
Q176223	P47	Q176094
Q176223	P47	Q188511
Q176223	P47	Q1012429
Q176223	P47	Q1012497
Q176223	P47	Q1141382
Q21867	P131	Q1270623
Q21867	P131	Q12652
Q21867	P47	Q21783
Q21867	P47	Q21874
Q21867	P47	Q21859
Q21867	P47	Q22233
Q21867	P47	Q22386
Q21867	P47	Q22055
Q21867	P47	Q22293
Q21867	P47	Q21943
Q21867	P47	Q22255
Q11372229	P1366	Q633647
Q11372229	P3842	Q633647
Q105758411	P1366	Q200078
Q105758411	P3842	Q200078
Q104828719	P1366	Q17139
Q104828719	P3842	Q17139
Q495821	P131	Q127877
Q495821	P190	Q207572
Q495821	P190	Q242783
Q495821	P190	Q602903
Q495821	P47	Q838657
Q495821	P47	Q838660
Q495821	P47	Q840859
Q495821	P47	Q1012064
Q495821	P47	Q1204123
Q495821	P47	Q1346895
Q495821	P47	Q1203700
Q495821	P47	Q1346871
Q495821	P47	Q374984
Q495821	P1365	Q11557469
Q495821	P1365	Q17175448
Q495821	P1365	Q17176694
Q495821	P1365	Q17176776
Q495821	P1365	Q11517123
Q495821	P1365	Q4803646
Q495821	P1365	Q4006668
Q11420012	P1366	Q11563915
Q11420012	P3842	Q1350204
Q666305	P131	Q12549
Q666305	P47	Q654765
Q666305	P47	Q1011295
Q666305	P47	Q225183
Q666305	P47	Q591665
Q666305	P47	Q260148
Q666305	P47	Q475738
Q666305	P47	Q1074620
Q224346	P131	Q1270623
Q224346	P131	Q12626
Q224346	P47	Q1062198
Q224346	P47	Q193281
Q224346	P47	Q1000248
Q224346	P47	Q1064035
Q224346	P47	Q1047335
Q224346	P47	Q1047476
Q224346	P47	Q777210
Q224346	P47	Q1046738
Q224346	P47	Q1097173
Q224346	P47	Q668721
Q22150	P131	Q12652
Q22150	P131	Q12652
Q22150	P47	Q22457
Q22150	P47	Q22427
Q22150	P47	Q22179
Q22150	P47	Q22337
Q931612	P131	Q12626
Q931612	P47	Q1026441
Q931612	P47	Q1062207
Q931612	P47	Q1018496
Q931612	P47	Q318535
Q931612	P47	Q1049422
